iter	Passed	Remaining
795	6453	1653
796	6461	1645
797	6469	1637
798	6477	1629
799	6485	1621
800	6492	1613
801	6500	1604
802	6508	1596
803	6517	1588
804	6524	1580
805	6532	1572
806	6540	1564
807	6548	1556
808	6557	1548
809	6564	1539
810	6572	1531
811	6579	1523
812	6588	1515
813	6595	1507
814	6604	1499
815	6611	1490
816	6619	1482
817	6626	1474
818	6634	1466
819	6641	1457
820	6649	1449
821	6657	1441
822	6664	1433
823	6672	1425
824	6680	1417
825	6688	1408
826	6696	1400
827	6704	1392
828	6711	1384
829	6718	1376
830	6726	1367
831	6734	1359
832	6741	1351
833	6749	1343
834	6757	1335
835	6765	1327
836	6772	1318
837	6780	1310
838	6788	1302
839	6796	1294
840	6803	1286
841	6811	1278
842	6818	1269
843	6826	1261
844	6834	1253
845	6843	1245
846	6851	1237
847	6859	1229
848	6867	1221
849	6875	1213
850	6883	1205
851	6891	1197
852	6899	1189
853	6907	1180
854	6915	1172
855	6922	1164
856	6931	1156
857	6938	1148
858	6946	1140
859	6954	1132
860	6963	1124
861	6970	1115
862	6978	1107
863	6986	1099
864	6993	1091
865	7001	1083
866	7010	1075
867	7017	1067
868	7025	1059
869	7033	1050
870	7041	1042
871	7049	1034
872	7057	1026
873	7066	1018
874	7074	1010
875	7082	1002
876	7091	994
877	7099	986
878	7107	978
879	7114	970
880	7122	962
881	7131	954
882	7139	945
883	7147	937
884	7155	929
885	7163	921
886	7171	913
887	7186	906
888	7201	899
889	7218	892
890	7234	885
891	7249	877
892	7261	870
893	7273	862
894	7283	854
895	7292	846
896	7302	838
897	7310	830
898	7318	822
899	7326	814
900	7334	805
901	7341	797
902	7349	789
903	7356	781
904	7364	773
905	7371	764
906	7378	756
907	7385	748
908	7392	740
909	7400	731
910	7407	723
911	7415	715
912	7422	707
913	7430	699
914	7437	690
915	7445	682
916	7453	674
917	7461	666
918	7469	658
919	7477	650
920	7484	641
921	7491	633
922	7498	625
923	7505	617
924	7513	609
925	7520	600
926	7528	592
927	7535	584
928	7543	576
929	7551	568
930	7558	560
931	7566	552
932	7574	543
933	7581	535
934	7589	527
935	7596	519
936	7603	511
937	7611	503
938	7619	494
939	7626	486
940	7633	478
941	7640	470
942	7648	462
943	7655	454
944	7663	446
945	7670	437
946	7678	429
947	7685	421
948	7693	413
949	7700	405
950	7708	397
951	7716	389
952	7723	380
953	7730	372
954	7738	364
955	7746	356
956	7754	348
957	7762	340
958	7769	332
959	7777	324
960	7784	315
961	7791	307
962	7798	299
963	7805	291
964	7813	283
965	7821	275
966	7828	267
967	7836	259
968	7843	250
969	7851	242
970	7859	234
971	7866	226
972	7874	218
973	7881	210
974	7889	202
975	7896	194
976	7904	186
977	7912	177
978	7920	169
979	7928	161
980	7936	153
981	7944	145
982	7952	137
983	7960	129
984	7968	121
985	7977	113
986	7984	105
987	7991	97
988	7999	88
989	8006	80
990	8013	72
991	8021	64
992	8028	56
993	8035	48
994	8042	40
995	8050	32
996	8057	24
997	8065	16
998	8072	8
999	8080	0
